   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.67668,             0.51969,             0.54006,             0.25912,            0.072543,             0.09334,            0.017588,             0.00869,             0.01031,             0.89453,             0.00052,              3.5507,                0.95,             0.10055,             0.05304,             0.46442,              1.1531,             0.77995,              1.9094,                 0.2,              4.1336,                   0,             0.01356,             0.63839,             0.41706,                   0,             0.14571,              0.5704,                   0,                   0,                   0,                 0.5,             0.99339,                   0,                   0,              2.4547
             0.63959,             0.57377,              0.5488,             0.28995,            0.070612,            0.098813,            0.016907,             0.01042,                0.01,             0.91668,             0.00053,              3.4397,                0.95,             0.10537,             0.05605,             0.48422,              1.1415,             0.97271,              1.6796,                 0.2,              3.8597,                   0,             0.01317,             0.69451,             0.33698,                   0,             0.10355,              0.5256,                   0,                   0,                   0,                 0.5,             0.98022,                   0,                   0,              3.6036
              0.6567,              0.5401,             0.54616,             0.29039,            0.063781,             0.11056,            0.014831,             0.00935,             0.01031,             0.92292,             0.00052,              3.9127,                0.95,             0.09829,             0.05065,                 0.5,              1.1531,             0.87429,               1.785,                 0.2,              3.9558,                   0,             0.01342,             0.65094,             0.35655,                   0,             0.10757,             0.55119,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4072
             0.68292,              0.5081,             0.53495,             0.28694,            0.067813,             0.11505,            0.014631,             0.00864,             0.01102,             0.94172,             0.00057,              4.4479,             0.86039,             0.10888,              0.0485,                 0.5,              1.0756,             0.87597,              1.9995,                 0.2,              4.3243,                   0,             0.01127,             0.81717,              0.3577,                   0,             0.13291,             0.48339,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.499
             0.65613,              0.4926,             0.52373,             0.19901,            0.061851,             0.10746,            0.031558,               0.011,             0.01031,                0.98,             0.00042,              4.2966,             0.85003,             0.09246,             0.04749,             0.68002,              1.4791,             0.76967,                   2,                 0.2,              4.4683,                   0,             0.01613,             0.71499,              0.3577,                   0,             0.14173,             0.53299,                   0,                   0,                   0,                 0.5,             0.98067,                   0,                   0,                   2
             0.58806,             0.49484,             0.48993,             0.24428,            0.076009,             0.10613,            0.018415,             0.01042,             0.01031,             0.92949,             0.00052,              4.0612,                0.95,             0.09762,             0.05635,                0.49,              1.1826,             0.91473,              1.9319,                 0.2,               3.818,                   0,             0.01332,             0.60612,              0.3577,                   0,             0.11493,             0.55219,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.0623
             0.70006,             0.51996,             0.53263,             0.27645,            0.068166,            0.096251,            0.020683,             0.00935,             0.01136,             0.90362,             0.00054,              3.7804,                0.95,             0.09641,             0.05092,             0.54424,              1.2524,              0.8612,              1.7734,                 0.2,              4.6541,                   0,             0.01346,             0.65094,             0.38313,                   0,             0.10786,             0.58367,                   0,                   0,                   0,                 0.5,             0.95396,                   0,                   0,              3.8208
             0.65311,             0.52557,              0.5473,             0.29185,             0.06977,             0.10298,            0.016023,             0.00939,             0.01089,             0.90916,             0.00052,              4.0776,                0.95,             0.09889,             0.05363,             0.50316,              1.1531,             0.83578,              1.7734,                 0.2,              3.9656,                   0,             0.01338,             0.66521,             0.36612,                   0,             0.10786,             0.51549,                   0,                   0,                   0,                 0.5,             0.97369,                   0,                   0,              3.3958
             0.69794,             0.48924,             0.51565,             0.28065,            0.069991,              0.1095,            0.015743,             0.00716,                0.01,             0.88198,             0.00055,              3.8909,             0.83488,             0.10525,              0.0462,             0.52118,             0.96383,             0.90798,              1.9057,                 0.2,              4.6883,                   0,             0.01391,             0.60543,             0.39041,                   0,             0.13232,             0.51513,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.71975,             0.50204,             0.53521,             0.28594,            0.084197,             0.10654,            0.020074,             0.00616,             0.01001,             0.87619,             0.00056,              3.8909,             0.91249,             0.08003,             0.05819,             0.63255,              1.1032,             0.92264,              1.7734,                 0.2,              4.2425,                   0,             0.01335,             0.64754,             0.31621,                   0,             0.12688,             0.50591,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4932
             0.67853,             0.50517,             0.54726,             0.27683,            0.053543,            0.087599,            0.016188,             0.00923,             0.01026,             0.96494,             0.00052,              4.2077,             0.84463,             0.09889,             0.04259,             0.56817,              1.1635,             0.76664,              1.7734,                 0.2,              3.4259,                   0,             0.01369,             0.79471,              0.3606,                   0,             0.10786,             0.59448,                   0,                   0,                   0,                 0.5,             0.88294,                   0,                   0,              3.3958
             0.69467,             0.51089,             0.54214,             0.29188,            0.091699,             0.13237,            0.014976,             0.00978,             0.01137,             0.90238,              0.0005,               3.588,             0.90008,             0.09889,             0.07082,              0.5235,              1.0777,                1.18,              1.6027,                 0.2,              3.9656,                   0,             0.01465,             0.65094,             0.32775,                   0,             0.10786,             0.52101,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.66856,             0.50529,             0.54543,             0.28863,            0.073411,            0.064052,            0.014923,             0.00853,             0.01039,             0.96758,             0.00052,              4.5331,             0.92099,             0.09987,             0.05844,                 0.5,               1.035,             0.56109,               1.596,                 0.2,              4.1593,                   0,             0.00974,             0.59207,             0.46486,                   0,              0.0981,             0.69133,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5378
               0.642,             0.53689,             0.53867,              0.2796,            0.065827,            0.098428,            0.014877,             0.00806,             0.01031,             0.92083,             0.00052,              3.8909,                0.95,             0.10005,             0.05092,             0.52535,              1.0772,             0.86135,              1.7734,                 0.2,              3.7173,                   0,              0.0138,             0.73698,             0.37998,                   0,             0.10072,             0.54481,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.65971,             0.53127,             0.53177,              0.2812,            0.072841,             0.09106,            0.019933,             0.00935,             0.01229,             0.90149,             0.00052,               3.812,             0.88752,             0.09439,             0.05575,             0.51308,              1.2209,             0.87597,              1.7734,                 0.2,              3.9656,                   0,             0.01485,             0.60821,              0.3577,                   0,             0.10786,             0.49848,                   0,                   0,                   0,                 0.5,             0.90575,                   0,                   0,              3.9419
             0.67908,             0.50866,             0.54431,             0.28224,            0.078188,             0.10047,            0.017564,             0.00931,             0.01035,                0.98,             0.00052,              3.8909,                0.95,              0.1022,             0.06609,             0.50338,              1.4271,             0.94428,              1.3783,                 0.2,              4.1694,                   0,             0.01755,             0.68279,             0.42266,                   0,             0.07289,             0.66536,                   0,                   0,                   0,                 0.5,               0.985,                   0,                   0,              3.3958
              0.6223,             0.51865,             0.53448,              0.2848,            0.067467,              0.1008,            0.015735,              0.0094,             0.01019,             0.91552,              0.0005,              3.9567,                0.95,             0.09889,             0.05065,                 0.5,              1.1531,             0.85379,              1.7593,                 0.2,              3.8654,                   0,             0.01337,             0.65225,              0.3703,                   0,             0.10546,             0.53976,                   0,                   0,                   0,                 0.5,             0.94619,                   0,                   0,               3.112
             0.64831,               0.554,              0.5612,             0.28612,            0.050454,            0.094468,             0.01516,             0.00935,             0.01101,             0.97379,             0.00058,              3.8909,             0.91222,             0.09003,             0.04054,             0.50898,             0.88784,             0.86439,              1.7734,                 0.2,              3.9315,                   0,             0.01235,             0.69551,             0.32354,                   0,             0.10546,             0.59258,                   0,                   0,                   0,                 0.5,              0.9878,                   0,                   0,              3.5927
             0.63998,             0.54163,             0.54836,              0.2927,            0.064156,             0.11337,            0.015006,             0.00921,             0.01031,             0.92083,             0.00052,                3.83,             0.92259,             0.09889,             0.05025,             0.51135,              1.1531,             0.91661,              1.7734,                 0.2,              3.9823,                   0,             0.01334,             0.63802,             0.36202,                   0,             0.10786,             0.53958,                   0,                   0,                   0,                 0.5,             0.99936,                   0,                   0,               3.303
